station,latitude,longitude,IncomingPassengers,OutgoingPassengers
каховская,55.653,37.5983,5920734.0,6139859.0
варшавская,55.6533,37.6194,9334742.0,9268132.0
кленовый бульвар,55.6748806,37.6822694,2801991.0,2891197.0
нагатинский затон,55.68442194,37.70356806,1851660.0,1875239.0
нижегородская,55.732471,37.728327,18635429.0,20391665.0
лефортово,55.764698,37.706759,4511094.0,4628667.0
битцевский парк,55.6004,37.5562,884788.0,640499.0
лесопарковая,55.5821,37.5769,2752094.0,2634352.0
улица старокачаловская,55.569,37.5767,0.0,0.0
улица скобелевская,55.5481,37.5546,6750016.0,6453261.0
бульвар адмирала ушакова,55.5455,37.543,3906063.0,3852203.0
улица горчакова,55.5418,37.5308,3306593.0,3234595.0
бунинская аллея,55.538,37.5158,7482127.0,7282931.0
стахановская,55.727207,37.752257,2987670.0,3079352.0
окская,55.718623,37.781277,3540592.0,3620689.0
юго-восточная,55.705352,37.817998,4849615.0,4911081.0
косино,55.703423,37.850998,1923330.0,1860061.0
улица дмитриевского,55.710176,37.879945,3421243.0,3421946.0
лухмановская,55.708495,37.900963,6677983.0,6559593.0
некрасовка,55.702884,37.928207,19829233.0,19480801.0
зил,55.696867,37.645092,4023925.0,4223739.0
крымская,55.689749,37.60885,3585075.0,3751723.0
вавиловская,55.685022,37.541151,,
университет дружбы народов,55.648045,37.507277,1245147.0,1290225.0
генерала тюленева,55.626245,37.486024,560870.0,557684.0
тютчевская,55.61891,37.481101,323705.0,311506.0
корниловская,55.598782,37.479305,12091.0,12162.0
коммунарка,55.574596,37.467965,7751.0,9742.0
лужники,55.7143734,37.5660769,3684401.0,4213198.0
локомотив,55.803621,37.7459602,3920375.0,3980923.0
зорге,55.7778286,37.5120734,1771186.0,1850416.0
балтийская,55.8258363,37.4964797,3963986.0,4282866.0
соколиная гора,55.7713234,37.7449733,2293864.0,2415025.0
вавиловская,55.6849162,37.5409507,,
улица милашенкова,55.8255228,37.5835862,74266.0,66133.0
телецентр,55.821517,37.604162,141902.0,124544.0
хорошёво,55.7768399,37.5056597,2510637.0,2671865.0
коптево,55.8413633,37.5193579,5559435.0,5787953.0
лихоборы,55.842712,37.5304764,5190799.0,5255395.0
панфиловская,55.7989987,37.4989889,2319115.0,2444802.0
новохохловская,55.7241224,37.717096,2265028.0,2318751.0
ростокино,55.8410039,37.669905,11330990.0,11331989.0
верхние котлы,55.6896974,37.622396,5441908.0,5618933.0
белокаменная,55.8293089,37.7024844,593137.0,619397.0
стрешнево,55.8106736,37.4750782,6268061.0,6395369.0
андроновка,55.7444343,37.7374755,2835677.0,2841277.0
площадь гагарина,55.7092374,37.5830808,4563366.0,5501953.0
угрешская,55.7154769,37.6874448,1848391.0,1951249.0
улица академика королёва,55.8216337,37.6158633,62826.0,55920.0
улица сергея эйзенштейна,55.8296408,37.6494839,87429.0,76802.0
шелепиха,55.7573,37.5256294,6152618.0,6367328.0
измайлово,55.7936676,37.8215083,3541571.0,3754839.0
