,id,latitude,longitude,price,area,floor,floors_total,link,address_clean
224,316176384,55.719455,37.608275,470000,20.5,1,8,https://www.cian.ru/rent/commercial/316176384/,"Москва, ЮАО, р-н Донской, м. Шаболовская, улица Шаболовка, 30/12"
225,323195515,55.540817,37.495204,150000,100.0,1,17,https://www.cian.ru/rent/commercial/323195515/,"Москва, НАО (Новомосковский), м. Потапово, Сосенское поселение, улица Александры Монаховой, 105к1"
226,309549985,55.788196,37.615066,1500000,776.0,1,16,https://www.cian.ru/rent/commercial/309549985/,"Москва, СВАО, р-н Марьина роща, м. Марьина Роща, Трифоновская улица, 12"
227,319229719,55.850727,37.623205,2500,157.8,1,18,https://www.cian.ru/rent/commercial/319229719/,"Москва, СВАО, р-н Останкинский, м. Ботанический сад, Березовая аллея, 19к4"
228,322591912,55.76603,37.613557,1000000,160.0,1,5,https://www.cian.ru/rent/commercial/322591912/,"Москва, ЦАО, р-н Тверской, м. Чеховская, Петровский переулок, 5С1"
229,310176132,55.763523,37.556559,225000,15.2,1,8,https://www.cian.ru/rent/commercial/310176132/,"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, Звенигородское шоссе, 3АС1"
230,322225013,55.783397,37.635098,700000,155.4,1,6,https://www.cian.ru/rent/commercial/322225013/,"Москва, ЦАО, р-н Мещанский, м. Проспект Мира, проспект Мира, 54"
231,323458066,55.699761,37.467697,180000,36.0,1,29,https://www.cian.ru/rent/commercial/323458066/,"Москва, ЗАО, р-н Очаково-Матвеевское, м. Аминьевская, Вестердам ЖК"
232,319142684,55.813698,37.797577,450000,78.1,1,1,https://www.cian.ru/rent/commercial/319142684/,"Москва, ВАО, р-н Гольяново, м. Щёлковская, Уральская улица, 5А"
233,323301774,55.773358,37.683832,240000,33.0,1,2,https://www.cian.ru/rent/commercial/323301774/,"Москва, ЦАО, р-н Басманный, м. Бауманская, улица Фридриха Энгельса, 23С3"
234,315872406,55.773368,37.589743,1300000,275.1,1,8,https://www.cian.ru/rent/commercial/315872406/,"Москва, ЦАО, р-н Тверской, м. Маяковская, 1-я Тверская-Ямская улица, 13С1"
235,321860263,55.56727,37.288277,160000,67.0,1,10,https://www.cian.ru/rent/commercial/321860263/,"Москва, НАО (Новомосковский), м. Филатов Луг, улица Братьев Бромлей, 5к2"
236,323150249,55.769332,37.604214,250000,70.0,1,5,https://www.cian.ru/rent/commercial/323150249/,"Москва, ЦАО, р-н Тверской, м. Чеховская, Дегтярный переулок, 15к2"
237,322971491,55.74486,37.630014,46800,246.0,1,2,https://www.cian.ru/rent/commercial/322971491/,"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Средний Овчинниковский переулок, 8С2"
238,323307081,55.802184,37.582861,25000,106.2,1,4,https://www.cian.ru/rent/commercial/323307081/,"Москва, САО, р-н Савеловский, м. Дмитровская, Бутырская улица, 67С1"
239,322640399,55.664096,37.536526,2950000,1000.0,1,1,https://www.cian.ru/rent/commercial/322640399/,"Москва, ЮЗАО, р-н Обручевский, м. Воронцовская, улица Воронцовские Пруды, 3"
240,323054616,55.783261,37.600388,4000,220.0,1,8,https://www.cian.ru/rent/commercial/323054616/,"Москва, ЦАО, р-н Тверской, м. Менделеевская, Сущевская улица, 27С2"
241,323320875,55.714815,37.651241,250000,50.0,1,25,https://www.cian.ru/rent/commercial/323320875/,"Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Эдуарда Стрельцова, 2к2"
242,320921159,55.612619,37.69675,150000,19.0,1,1,https://www.cian.ru/rent/commercial/320921159/,"Москва, ЮАО, р-н Орехово-Борисово Северное, м. Орехово, Шипиловский проезд, 39К3"
243,323133514,55.783372,37.576708,90000,6.0,1,11,https://www.cian.ru/rent/commercial/323133514/,"Москва, САО, р-н Беговой, м. Белорусская, улица Правды, 4"
244,299095057,55.357046,37.427031,150000000,150000.0,1,1,https://www.cian.ru/rent/commercial/299095057/,"Москва, ТАО (Троицкий), Щаповское поселение, № 401 кв-л"
245,323477314,55.814325,37.639285,1100000,496.0,1,8,https://www.cian.ru/rent/commercial/323477314/,"Москва, СВАО, р-н Алексеевский, м. ВДНХ, проспект Мира, 124К8"
246,321492896,55.765397,37.623349,3600000,720.0,1,2,https://www.cian.ru/rent/commercial/321492896/,"Москва, ЦАО, р-н Мещанский, м. Трубная, улица Рождественка, 23/5С2"
247,315397240,55.765372,37.715426,1600,156.7,1,12,https://www.cian.ru/rent/commercial/315397240/,"Москва, ЮВАО, р-н Лефортово, м. Сортировочная, Сторожевая улица, 27"
248,318863985,55.850727,37.623205,2500,582.5,1,1,https://www.cian.ru/rent/commercial/318863985/,"Москва, СВАО, р-н Останкинский, м. Ботанический сад, Березовая аллея, 19к4"
249,315986354,55.762693,37.565937,420000,40.0,1,9,https://www.cian.ru/rent/commercial/315986354/,"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, улица Красная Пресня, 38"
