station,latitude,longitude
Пражская,55.6124,37.6044
Улица Академика Янгеля,55.5949,37.6004
Аннино,55.5828,37.5966
Бульвар Дмитрия Донского,55.5693,37.5769
Физтех,55.9216,37.5465
Лианозово,55.8989,37.5446
Яхромская,55.8799,37.5454
Селигерская,55.8665,37.5471
Верхние Лихоборы,55.856,37.561
Окружная,55.846096,37.573971
Фонвизинская,55.8228,37.5881
Бутырская,55.8133,37.6028
Марьина Роща,55.7954,37.6162
Достоевская,55.7816,37.6151
Трубная,55.7688,37.62
Сретенский бульвар,55.7668,37.6392
Чкаловская,55.7565,37.6573
Римская,55.7463,37.6819
Крестьянская Застава,55.7331,37.6673
Дубровка,55.7186,37.676
Кожуховская,55.7074,37.6851
Печатники,55.6934,37.727
Волжская,55.6909,37.753
Люблино,55.6758,37.7618
Братиславская,55.6597,37.7505
Марьино,55.65,37.7431
Борисово,55.6334,37.7436
Шипиловская,55.6211,37.7437
Зябликово,55.6124,37.7453
Савёловская,55.7934,37.587
Петровский парк,55.791867,37.557221
ЦСКА,55.786574,37.533222
Хорошёвская,55.776695,37.519124
Народное Ополчение,55.775701,37.485072
Мнёвники,55.761152,37.47139
Терехово,55.748,37.4596
Кунцевская,55.7288,37.446
Давыдково,55.7152,37.4517
Аминьевская,55.6971,37.4651
Мичуринский проспект,55.6882,37.4853
Проспект Вернадского,55.6784,37.504
Новаторская,55.6699,37.5221
Воронцовская,55.6589,37.5393
Зюзино,55.6558,37.5735
Каховская,55.653,37.5983
Варшавская,55.6533,37.6194
Кленовый бульвар,55.6748806,37.6822694
Нагатинский Затон,55.68442194,37.70356806
Печатники,55.6946,37.7273611
Текстильщики,55.70847,37.72834389
Нижегородская,55.732471,37.728327
Авиамоторная,55.751436,37.716619
Лефортово,55.764698,37.706759
Электрозаводская,55.780292,37.703013
Сокольники,55.79111,37.67889
Рижская,55.793806,37.635889
Марьина Роща,55.7983667,37.6172667
Битцевский парк,55.6004,37.5562
Лесопарковая,55.5821,37.5769
Улица Старокачаловская,55.569,37.5767
Улица Скобелевская,55.5481,37.5546
Бульвар Адмирала Ушакова,55.5455,37.543
Улица Горчакова,55.5418,37.5308
Бунинская аллея,55.538,37.5158
Стахановская,55.727207,37.752257
Окская,55.718623,37.781277
Юго-Восточная,55.705352,37.817998
Косино,55.703423,37.850998
Улица Дмитриевского,55.710176,37.879945
Лухмановская,55.708495,37.900963
Некрасовка,55.702884,37.928207
ЗИЛ,55.696867,37.645092
Крымская,55.689749,37.60885
Академическая,55.687064,37.575663
Вавиловская,55.685022,37.541151
Новаторская,55.671906,37.521755
Университет дружбы народов,55.648045,37.507277
Генерала Тюленева,55.626245,37.486024
Тютчевская,55.61891,37.481101
Корниловская,55.598782,37.479305
Коммунарка,55.574596,37.467965
Новомосковская,55.560597,37.465228
